epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.47878,1.05516,4.44228,0.9853,0.02544,0.84114,0.34969,0.23492,0.59511,2.98901,0.83012,0.00042,0.00042,0.00042
2,7.95097,0.68976,1.16964,0.88403,0.02478,0.8191,0.14164,0.122,0.61239,2.79003,0.85334,0.000842972,0.000842972,0.000842972
3,10.5487,0.63304,1.41181,0.82874,0.015,0.49587,0.0329,0.02713,0.85267,2.94767,1.02131,0.00124852,0.00124852,0.00124852
4,13.3193,0.62649,0.79961,0.87114,0.03757,0.95776,0.04013,0.03544,0.55231,5.63061,0.86339,0.00163664,0.00163664,0.00163664
5,15.7677,0.56953,1.13082,0.82082,0.74103,0.74472,0.79825,0.69677,0.53803,1.32388,0.84864,0.0018416,0.0018416,0.0018416
6,18.1878,0.54059,0.98431,0.8059,0.96378,0.98623,0.97474,0.87031,0.4872,0.78331,0.84442,0.001802,0.001802,0.001802
7,20.6565,0.57729,0.6792,0.85775,0.96366,0.98531,0.98028,0.8744,0.46319,0.62541,0.84454,0.0017624,0.0017624,0.0017624
8,23.1294,0.54054,0.91058,0.80907,0.96904,0.97734,0.97771,0.87406,0.45425,0.55348,0.84191,0.0017228,0.0017228,0.0017228
9,25.5505,0.51852,0.54068,0.85027,0.95962,0.98196,0.97644,0.88805,0.4223,0.5112,0.831,0.0016832,0.0016832,0.0016832
10,28.0532,0.55665,0.58508,0.8578,0.97204,0.98163,0.97781,0.86745,0.47836,0.56106,0.85263,0.0016436,0.0016436,0.0016436
11,30.5264,0.49167,0.74959,0.79926,0.96672,0.9869,0.98023,0.88707,0.42748,0.49017,0.83634,0.001604,0.001604,0.001604
12,33.1293,0.50217,0.50523,0.83382,0.96282,0.97501,0.97437,0.88631,0.41834,0.50259,0.83063,0.0015644,0.0015644,0.0015644
13,35.4252,0.4579,0.72929,0.79519,0.96598,0.97796,0.97682,0.89194,0.40375,0.45393,0.83015,0.0015248,0.0015248,0.0015248
14,37.8294,0.47621,0.672,0.79572,0.96538,0.98531,0.97848,0.88625,0.41668,0.43471,0.82809,0.0014852,0.0014852,0.0014852
15,40.1562,0.47889,0.71402,0.79606,0.96685,0.98531,0.97522,0.88458,0.41229,0.42411,0.83016,0.0014456,0.0014456,0.0014456
16,42.561,0.48921,0.48807,0.82963,0.96522,0.98531,0.97647,0.89001,0.41966,0.42259,0.83038,0.001406,0.001406,0.001406
17,44.888,0.46024,0.57275,0.79052,0.96416,0.98802,0.98224,0.90327,0.38806,0.39176,0.82558,0.0013664,0.0013664,0.0013664
18,47.3186,0.44274,0.74973,0.79136,0.96162,0.98922,0.97331,0.88201,0.44722,0.41903,0.83774,0.0013268,0.0013268,0.0013268
19,49.8626,0.46372,0.78111,0.78872,0.96402,0.98439,0.98201,0.90397,0.39467,0.39461,0.82499,0.0012872,0.0012872,0.0012872
